Time (s),Forward Acceleration (cm/s^2),Roll (deg),Label
23.8420561286408,-72,3.59531320127706,Toe-Off-Left
23.8520515776699,13,3.55234133034546,Other
23.862047026699,41,3.42342571755067,Other
23.8720424757281,-10,3.26586219080147,Other
23.8820379247573,-117,3.12262262102948,Other
23.8920333737864,-197,3.05100283614348,Other
23.9020288228155,-207,3.05100283614348,Other
23.9120242718447,-162,3.03667887916628,Other
23.9220197208738,-147,2.99370700823468,Other
23.9320151699029,-160,2.89343930939429,Other
23.942010618932,-146,2.72155182566789,Other
23.9520060679612,-116,2.4780445570555,Other
23.9620015169903,-91,2.19156541751152,Other
23.9719969660194,-64,1.89076232099033,Other
23.9819924150485,-40,1.61860713842354,Other
23.9919878640777,-18,1.37509986981115,Other
24.0019833131068,-14,1.18888842910755,Other
24.0119787621359,-19,1.03132490235836,Other
24.021974211165,-30,0.902409289563565,Other
24.0319696601942,-35,0.802141590723169,Other
24.0419651092233,-20,0.701873891882773,Other
24.0519605582524,3,0.601606193042377,Other
24.0619560072815,22,0.51566245117918,Other
24.0719514563107,36,0.429718709315983,Other
24.0819469053398,41,0.358098924429986,Other
24.0919423543689,37,0.300803096521188,Other
24.1019378033981,41,0.25783122558959,Other
24.1119332524272,59,0.214859354657992,Other
24.1219287014563,76,0.171887483726393,Other
24.1319241504854,73,0.114591655817596,Other
24.1419195995146,49,0.0429718709315983,Other
24.1519150485437,14,-0.0286479139543989,Other
24.1619104975728,-5,-0.114591655817596,Other
24.1719059466019,9,-0.214859354657992,Other
24.1819013956311,43,-0.286479139543989,Other
24.1918968446602,75,-0.343774967452787,Other
24.2018922936893,95,-0.386746838384385,Other
24.2118877427184,107,-0.415394752338784,Other
24.2218831917476,125,-0.444042666293183,Other
24.2318786407767,147,-0.458366623270382,Other
24.2418740898058,170,-0.501338494201981,Other
24.2518695388349,193,-0.529986408156379,Heal-Down-Left
